trip_id,route_id,service_id,shape_id
0,17350695,Mo-Su,17350695
1,17419574,Mo-Su,17419574
2,17434307,Mo-Su,17434307
3,17434313,Mo-Su,17434313
4,17434314,Mo-Su,17434314
5,17434330,Mo-Su,17434330
6,17434332,Mo-Su,17434332
7,17434339,Mo-Su,17434339
8,17434457,Mo-Su,17434457
9,17434472,Mo-Su,17434472
10,17463346,Mo-Su,17463346
11,17463348,Mo-Su,17463348
12,17463362,Mo-Su,17463362
13,17463369,Mo-Su,17463369
14,17463385,Mo-Su,17463385
15,17463445,Mo-Su,17463445
16,17463462,Mo-Su,17463462
17,17491518,Mo-Su,17491518
18,17492018,Mo-Su,17492018
19,17508289,Mo-Su,17508289
20,17508499,Mo-Su,17508499
21,17508501,Mo-Su,17508501
22,17508505,Mo-Su,17508505
23,17508507,Mo-Su,17508507
24,17520880,Mo-Su,17520880
25,17520994,Mo-Su,17520994
26,17521004,Mo-Su,17521004
27,17521008,Mo-Su,17521008
28,17521009,Mo-Su,17521009
29,17521112,Mo-Su,17521112
30,17521114,Mo-Su,17521114
31,17521119,Mo-Su,17521119
32,17521145,Mo-Su,17521145
33,17521283,Mo-Su,17521283
34,17521284,Mo-Su,17521284
35,17522621,Mo-Su,17522621
36,17522670,Mo-Su,17522670
37,17522705,Mo-Su,17522705
38,17522721,Mo-Su,17522721
39,17522730,Mo-Su,17522730
40,17527168,Mo-Su,17527168
41,17527200,Mo-Su,17527200
42,17527270,Mo-Su,17527270
43,17527397,Mo-Su,17527397
44,17527405,Mo-Su,17527405
45,17549691,Mo-Su,17549691
46,17549744,Mo-Su,17549744
47,17550302,Mo-Su,17550302
48,17551463,Mo-Su,17551463
49,17554401,Mo-Su,17554401
50,17554410,Mo-Su,17554410
51,17554571,Mo-Su,17554571
52,17554572,Mo-Su,17554572
53,17554576,Mo-Su,17554576
54,17554620,Mo-Su,17554620
55,17554634,Mo-Su,17554634
56,17554640,Mo-Su,17554640
57,17554644,Mo-Su,17554644
58,17554645,Mo-Su,17554645
59,17554649,Mo-Su,17554649
60,17554667,Mo-Su,17554667
61,17554683,Mo-Su,17554683
62,17554691,Mo-Su,17554691
63,17554694,Mo-Su,17554694
64,17569670,Mo-Su,17569670
65,17573616,Mo-Su,17573616
66,17580756,Mo-Su,17580756
67,17580790,Mo-Su,17580790
68,17581473,Mo-Su,17581473
69,17581474,Mo-Su,17581474
70,17581475,Mo-Su,17581475
71,17581510,Mo-Su,17581510
72,17581512,Mo-Su,17581512
73,17581515,Mo-Su,17581515
74,17581560,Mo-Su,17581560
75,17581631,Mo-Su,17581631
76,17581635,Mo-Su,17581635
77,17581639,Mo-Su,17581639
78,17581646,Mo-Su,17581646
79,17581709,Mo-Su,17581709
80,17581730,Mo-Su,17581730
81,17581737,Mo-Su,17581737
82,17581738,Mo-Su,17581738
83,17595670,Mo-Su,17595670
84,17595746,Mo-Su,17595746
85,17595748,Mo-Su,17595748
86,17595839,Mo-Su,17595839
87,17595870,Mo-Su,17595870
88,17605269,Mo-Su,17605269
89,17612352,Mo-Su,17612352
90,17612420,Mo-Su,17612420
91,17612564,Mo-Su,17612564
92,17669816,Mo-Su,17669816
93,17669832,Mo-Su,17669832
94,17669993,Mo-Su,17669993
95,17670001,Mo-Su,17670001
96,17670006,Mo-Su,17670006
97,17670087,Mo-Su,17670087
98,17670089,Mo-Su,17670089
99,17670129,Mo-Su,17670129
100,17670295,Mo-Su,17670295
